name,quantity,calories,carbohydrate,fat,protein,link
Philippine adobo,"Sodexo, 3 pieces",卡路里: 250,碳水化合: 6克,脂肪: 17克,蛋白質: 19克,Philippine%20adobo
Hulatang,"Generic Hulatang, 1 cup",卡路里: 100,碳水化合: 1克,脂肪: 1克,蛋白質: 50克,Hulatang
Dyrl?gens natmad,"Dyrl?gens Natmad, 230 g",卡路里: 311,碳水化合: 56.3克,脂肪: 4.7克,蛋白質: 7.9克,Dyrl?gens%20natmad
Chistorra,"Chistorra, 1 unidad",卡路里: 308,碳水化合: 0克,脂肪: 29克,蛋白質: 10克,Chistorra
Polkagris,"Grenna polkagris, 1 polkagris (50 gram)",卡路里: 199,碳水化合: 49克,脂肪: 0克,蛋白質: 0克,Polkagris
Galbi-tang,"Tang, 1 cup cooked",卡路里: 475,碳水化合: 0克,脂肪: 0克,蛋白質: 0克,Galbi-tang
Mrouzia,"Morrocan, 8 oz.",卡路里: 976,碳水化合: 56克,脂肪: 66克,蛋白質: 43克,Mrouzia
Gopchang-jeongol,"Generic Gopchang Jeongol, 1 cup",卡路里: 100,碳水化合: 1克,脂肪: 1克,蛋白質: 50克,Gopchang-jeongol
Miang kham,103.61 gramme,卡路里: 164,碳水化合: 24.4克,脂肪: 7.8克,蛋白質: 4.6克,Miang%20kham
Clams casino,"Matlaw's, 2 stuffed clams",卡路里: 60,碳水化合: 6克,脂肪: 3克,蛋白質: 3克,Clams%20casino
Nanbanzuke,356.29 gramm,卡路里: 662,碳水化合: 33.1克,脂肪: 45.6克,蛋白質: 27.7克,Nanbanzuke
Dripping cake,1 g,卡路里: 9,碳水化合: 0克,脂肪: 1克,蛋白質: 0克,Dripping%20cake
Cookie salad,"Cookie?salad, 1 cup",卡路里: 250,碳水化合: 30克,脂肪: 12克,蛋白質: 5克,Cookie%20salad
Usal,"Chawali, 1 cup",卡路里: 123,碳水化合: 20.6克,脂肪: 5.8克,蛋白質: 2.5克,Usal
Mandu-guk,"Generic, 1 (206 g)",卡路里: 679,碳水化合: 111.6克,脂肪: 17.5克,蛋白質: 17.5克,Mandu-guk
Smalahove,"Sau, 100 g",卡路里: 235,碳水化合: 0克,脂肪: 19克,蛋白質: 16克,Smalahove
Kokis,"Kokis Mazola, 100 gram",卡路里: 530,碳水化合: 61.3克,脂肪: 27.9克,蛋白質: 8.4克,Kokis
Ori-tang,"Tang, 1 cup",卡路里: 90,碳水化合: 22克,脂肪: 0克,蛋白質: 0克,Ori-tang
Pakhala,"Generic Pakhala, 1 cup",卡路里: 100,碳水化合: 1克,脂肪: 1克,蛋白質: 50克,Pakhala
Cream pie,"Cream pie, 1 pie",卡路里: 98,碳水化合: 21.4克,脂肪: 1.1克,蛋白質: 0.8克,Cream%20pie
Butajiru,"Generic Butajiru, 1 cup",卡路里: 100,碳水化合: 1克,脂肪: 1克,蛋白質: 50克,Butajiru
New England boiled dinner,"Generic, 1 cup",卡路里: 318,碳水化合: 0克,脂肪: 4.4克,蛋白質: 0克,New%20England%20boiled%20dinner
Chhena jalebi,"Generic Chhena Jalebi, 1 cup",卡路里: 100,碳水化合: 1克,脂肪: 1克,蛋白質: 50克,Chhena%20jalebi
Pastitsio,"Pastitsio, 1 piece ( 374g)",卡路里: 473,碳水化合: 47.7克,脂肪: 17.8克,蛋白質: 33克,Pastitsio
Panucho,165.68 gramm,卡路里: 238,碳水化合: 24.8克,脂肪: 9.6克,蛋白質: 17.9克,Panucho
Chhena kheeri,"Generic Chhena Kheeri, 1 cup",卡路里: 100,碳水化合: 1克,脂肪: 1克,蛋白質: 50克,Chhena%20kheeri
Kifli,57.25 gramme,卡路里: 173,碳水化合: 26.7克,脂肪: 5.8克,蛋白質: 4.2克,Kifli
Solyanka,2 cups,卡路里: 290,碳水化合: 20.9克,脂肪: 14.5克,蛋白質: 23.1克,Solyanka
Sadhya,"soertex rice matta, 45 gram",卡路里: 158,碳水化合: 36.1克,脂肪: 0.3克,蛋白質: 2.9克,Sadhya
Cullen skink,248.18 gramm,卡路里: 278,碳水化合: 12.4克,脂肪: 18.2克,蛋白質: 13.6克,Cullen%20skink
Havregrynskugle,"Generic, 1 piece",卡路里: 65,碳水化合: 0克,脂肪: 0克,蛋白質: 0克,Havregrynskugle
Harira,"Harira, 100 g",卡路里: 285,碳水化合: 44克,脂肪: 6克,蛋白質: 16克,Harira
Cornish game hen,1 bird whole,卡路里: 666,碳水化合: 0克,脂肪: 46.8克,蛋白質: 57.2克,Cornish%20game%20hen
Beef on weck,"Generic Beef on Half Weck, 1 Sandwich",卡路里: 280,碳水化合: 17.5克,脂肪: 6克,蛋白質: 36克,Beef%20on%20weck
Tompouce,"Tompouce Oranje, 100 gr",卡路里: 347,碳水化合: 36克,脂肪: 19克,蛋白質: 4克,Tompouce
Caldo de siete mares,"Generic, 1 bowl",卡路里: 371,碳水化合: 4.7克,脂肪: 15.4克,蛋白質: 50.5克,Caldo%20de%20siete%20mares
Millionb?f,"Generic, 100 g",卡路里: 119,碳水化合: 4.3克,脂肪: 8.3克,蛋白質: 7.5克,Millionb?f
Chicago-style hot dog,"Chicago-Style, 1 hot dog",卡路里: 374,碳水化合: 38克,脂肪: 19.4克,蛋白質: 12.3克,Chicago-style%20hot%20dog
Risalamande,"Kl?ver, 100 g",卡路里: 163,碳水化合: 20克,脂肪: 7.7克,蛋白質: 3.1克,Risalamande
Alinazik kebab,"Generic Alinazik Kebab, 1 cup",卡路里: 100,碳水化合: 1克,脂肪: 1克,蛋白質: 50克,Alinazik%20kebab
Medisterp?lse,"Medisterp?lse, 100 g",卡路里: 180,碳水化合: 6克,脂肪: 12克,蛋白質: 12克,Medisterp?lse
Sarson da saag,"Haldirams Sarson Da Saag, 0.5 pack",卡路里: 430,碳水化合: 25克,脂肪: 26克,蛋白質: 23克,Sarson%20da%20saag
Liangfen,1 taza,卡路里: 133,碳水化合: 9.3克,脂肪: 10.7克,蛋白質: 2.7克,Liangfen
Pistolette,"Crawfish Pistolette, 1 Pistolette",卡路里: 221,碳水化合: 18.2克,脂肪: 10.7克,蛋白質: 13克,Pistolette
Steamed clams,"steamed clams, 12 clams",卡路里: 100,碳水化合: 0克,脂肪: 1.5克,蛋白質: 22克,Steamed%20clams
Ulam,"Ulam, 1 cup",卡路里: 10,碳水化合: 0克,脂肪: 0克,蛋白質: 0克,Ulam
Kheer,"Homemade, 1 cup",卡路里: 282,碳水化合: 47.6克,脂肪: 6.8克,蛋白質: 8克,Kheer
Tlacoyo,1 each,卡路里: 261,碳水化合: 38.1克,脂肪: 8.6克,蛋白質: 9.5克,Tlacoyo
Tarator,1 taza,卡路里: 294,碳水化合: 11.8克,脂肪: 23.2克,蛋白質: 13.8克,Tarator
061ptq,"M&M, 1 pack",卡路里: 250,碳水化合: 29克,脂肪: 13克,蛋白質: 5克,061ptq
062p8x,"M&M, 1 pack",卡路里: 250,碳水化合: 29克,脂肪: 13克,蛋白質: 5克,062p8x
Cochinita pibil,1 cup,卡路里: 364,碳水化合: 15.8克,脂肪: 21.1克,蛋白質: 26.8克,Cochinita%20pibil
Buddha Jumps Over the Wall,"Kinohimitsu, 100 gram",卡路里: 34,碳水化合: 2.7克,脂肪: 0克,蛋白質: 5.8克,Buddha%20Jumps%20Over%20the%20Wall
Sfouf,"Lebanese, 1 (87 g)",卡路里: 291,碳水化合: 44克,脂肪: 11克,蛋白質: 3克,Sfouf
Ham and cheese sandwich,"Super Moms Ham and Cheese Sandwich, 1 sandwich",卡路里: 250,碳水化合: 28克,脂肪: 8克,蛋白質: 18克,Ham%20and%20cheese%20sandwich
Peanut butter,1 tablespoon,卡路里: 96,碳水化合: 3.6克,脂肪: 8.2克,蛋白質: 3.6克,Peanut%20butter
Bacon,"Bacon, 2 pieces",卡路里: 80,碳水化合: 0克,脂肪: 7克,蛋白質: 5克,Bacon
Chicken karahi,"Tandoori, 231 g",卡路里: 270,碳水化合: 10.2克,脂肪: 14.5克,蛋白質: 24.7克,Chicken%20karahi
Maple bacon donut,1 donut,卡路里: 323,碳水化合: 30.9克,脂肪: 18.6克,蛋白質: 7.8克,Maple%20bacon%20donut
Litti,1 piece,卡路里: 116,碳水化合: 19.2克,脂肪: 2.9克,蛋白質: 4.4克,Litti
Nam Khao,"Generic, 2 cups",卡路里: 822,碳水化合: 52.9克,脂肪: 61.3克,蛋白質: 6.3克,Nam%20Khao
Nam tok,358.4 gramm,卡路里: 733,碳水化合: 28.2克,脂肪: 42.6克,蛋白質: 62.9克,Nam%20tok
Baozi,"Baozi, 1 baozi",卡路里: 42,碳水化合: 23克,脂肪: 9克,蛋白質: 11克,Baozi
Kibbeh,"chicken kibbeh, 2 ball",卡路里: 238,碳水化合: 9.4克,脂肪: 7.8克,蛋白質: 12克,Kibbeh
Kushari,"Dahab, 138.9 g",卡路里: 537,碳水化合: 87.7克,脂肪: 11克,蛋白質: 22.9克,Kushari
Jiuniang,"Home-Made, 100 g",卡路里: 91,碳水化合: 0克,脂肪: 0克,蛋白質: 0克,Jiuniang
06603bl,"M&M, 1 pack",卡路里: 250,碳水化合: 29克,脂肪: 13克,蛋白質: 5克,06603bl
Machher Jhol,"Generic Machher Jhol, 1 cup",卡路里: 100,碳水化合: 1克,脂肪: 1克,蛋白質: 50克,Machher%20Jhol
Fahsa,"Generic Fahsa, 1 cup",卡路里: 100,碳水化合: 1克,脂肪: 1克,蛋白質: 50克,Fahsa
Mysore pak,43.81 gramm,卡路里: 173,碳水化合: 17.1克,脂肪: 11.7克,蛋白質: 0.8克,Mysore%20pak
Chalupa,"Taco Bell, 1 Taco",卡路里: 370,碳水化合: 31克,脂肪: 21克,蛋白質: 13克,Chalupa
Swiss roll,"Swiss Roll, 1 plate",卡路里: 270,碳水化合: 39克,脂肪: 12克,蛋白質: 2克,Swiss%20roll
Balkenbrij,"Balkenbrij, 100 gram",卡路里: 238,碳水化合: 17克,脂肪: 14克,蛋白質: 11克,Balkenbrij
Tortas de aceite,"Tortas Gavi?o, 1 piece",卡路里: 136,碳水化合: 21.8克,脂肪: 4.7克,蛋白質: 1.8克,Tortas%20de%20aceite
Popover,62.4 gramme,卡路里: 105,碳水化合: 14克,脂肪: 3.5克,蛋白質: 4.5克,Popover
Falooda,"falooda, 100 gms",卡路里: 396,碳水化合: 79.3克,脂肪: 3.1克,蛋白質: 12.9克,Falooda
Macaroni salad,"Booth's Corner Amish Market, 0.5 cup",卡路里: 280,碳水化合: 64克,脂肪: 17克,蛋白質: 0克,Macaroni%20salad
Barbacoa,"Barbacoa, 15 oz",卡路里: 625,碳水化合: 45克,脂肪: 30克,蛋白質: 36克,Barbacoa
Hushpuppy,"Long John Silvers - Hushpuppy, 1 pup (24g)",卡路里: 80,碳水化合: 9克,脂肪: 4.5克,蛋白質: 1克,Hushpuppy
Luther Burger,"Luther, 100 gramm",卡路里: 296,碳水化合: 1克,脂肪: 24克,蛋白質: 19克,Luther%20Burger
Ragout,"Ragout, 1 portie",卡路里: 168,碳水化合: 15克,脂肪: 8克,蛋白質: 9克,Ragout
B?nh bao,"B?nh Bao, 1 c?i",卡路里: 328,碳水化合: 49克,脂肪: 7.9克,蛋白質: 16.1克,B?nh%20bao
Moronga,113.4 gramme,卡路里: 430,碳水化合: 1.5克,脂肪: 39.1克,蛋白質: 16.6克,Moronga
Hayashi rice,1 cup,卡路里: 311,碳水化合: 27.6克,脂肪: 16.4克,蛋白質: 12克,Hayashi%20rice
Z?rcher Geschnetzeltes,"Z?richer Geschnetzeltes, 350 g",卡路里: 462,碳水化合: 46.3克,脂肪: 26克,蛋白質: 31克,Z?rcher%20Geschnetzeltes
?clair,"?clair, 100 g",卡路里: 150,碳水化合: 3克,脂肪: 14克,蛋白質: 3克,?clair
Colcannon,"Colcannon, 1 pack",卡路里: 272,碳水化合: 40.4克,脂肪: 8克,蛋白質: 5.6克,Colcannon
Bear claw,1 pastry,卡路里: 527,碳水化合: 67.9克,脂肪: 26.3克,蛋白質: 7.7克,Bear%20claw
Francesinha,"francesinha, 450 g",卡路里: 828,碳水化合: 59克,脂肪: 45克,蛋白質: 50克,Francesinha
Wat,252.82 gramm,卡路里: 340,碳水化合: 12.1克,脂肪: 19.7克,蛋白質: 32.7克,Wat
Loco moco,496.55 gramm,卡路里: 633,碳水化合: 68.1克,脂肪: 23克,蛋白質: 36.3克,Loco%20moco
Hot milk cake,"Homemade, 16 th of a cake",卡路里: 230,碳水化合: 37.9克,脂肪: 7.3克,蛋白質: 3.7克,Hot%20milk%20cake
Hoe,"Sparkrecipes, 1 Cake",卡路里: 274,碳水化合: 25.4克,脂肪: 16.9克,蛋白質: 4.3克,Hoe
Gordita,1 gordita,卡路里: 290,碳水化合: 25.7克,脂肪: 12.5克,蛋白質: 17.6克,Gordita
Macaron,"Macaron, 1 piece 19 g",卡路里: 80,碳水化合: 10克,脂肪: 4克,蛋白質: 0克,Macaron
Pepperoni roll,1 roll,卡路里: 250,碳水化合: 31.8克,脂肪: 10.7克,蛋白質: 6.3克,Pepperoni%20roll
Rasgulla,"Verka?rasgulla, 1 item",卡路里: 84,碳水化合: 19克,脂肪: 0.4克,蛋白質: 2克,Rasgulla
Angel wings,"Polish, 1 wing",卡路里: 67,碳水化合: 7克,脂肪: 4克,蛋白質: 1克,Angel%20wings
Huevos rancheros,"HEB Meal Simple, 1 egg + tortilla + Tbsp salsa + slice bacon + 1/4 avacado + fat free vegetarian refried beans + tbls cheddar heese",卡路里: 200,碳水化合: 13克,脂肪: 10克,蛋白質: 13克,Huevos%20rancheros
Caprese salad,"Salad, 2 cups",卡路里: 150,碳水化合: 0克,脂肪: 0克,蛋白質: 0克,Caprese%20salad
Kombdi vade,"Generic Kombdi Vade, 1 cup",卡路里: 100,碳水化合: 1克,脂肪: 1克,蛋白質: 50克,Kombdi%20vade
Yong tau foo,"Yong Tau Foo, 1 bowl",卡路里: 165,碳水化合: 12克,脂肪: 8克,蛋白質: 10.7克,Yong%20tau%20foo
Chai tow kway,"Andro's Rostilj, 3 oz",卡路里: 100,碳水化合: 15克,脂肪: 2克,蛋白質: 4克,Chai%20tow%20kway
Machaca,"Machaca, 100 grams",卡路里: 153,碳水化合: 2克,脂肪: 5克,蛋白質: 25克,Machaca
Ugali,1 tasse,卡路里: 178,碳水化合: 41.4克,脂肪: 1.8克,蛋白質: 4克,Ugali
Arr?s negre,"cada tio, 100 gramo",卡路里: 167,碳水化合: 15克,脂肪: 10克,蛋白質: 2.3克,Arr?s%20negre
Kimchi fried rice,"Generic, 1 cup",卡路里: 338,碳水化合: 30克,脂肪: 16克,蛋白質: 16克,Kimchi%20fried%20rice
Frybread,"Navajo Frybread, 1 bread",卡路里: 217,碳水化合: 32.1克,脂肪: 7.7克,蛋白質: 4.3克,Frybread
Halo-halo,"Halo halo, 1 tbsp",卡路里: 50,碳水化合: 8.3克,脂肪: 1.7克,蛋白質: 0克,Halo-halo
Shiokara,1 cup,卡路里: 261,碳水化合: 9.1克,脂肪: 3.9克,蛋白質: 43.9克,Shiokara
Janssons frestelse,"#, 100 g",卡路里: 148,碳水化合: 11克,脂肪: 8克,蛋白質: 5克,Janssons%20frestelse
Hot Brown,"Ky Hot Brown, 1 cup",卡路里: 1044,碳水化合: 0克,脂肪: 52.7克,蛋白質: 0克,Hot%20Brown
Torta,"Helen's Cakes, 60 gramos",卡路里: 226,碳水化合: 29.2克,脂肪: 12克,蛋白質: 0.4克,Torta
?evapi,"?evapi, 250 g",卡路里: 924,碳水化合: 51.4克,脂肪: 50.5克,蛋白質: 64.1克,?evapi
Salt water taffy,"Salt Water Taffy, 7 pieces",卡路里: 160,碳水化合: 38克,脂肪: 2克,蛋白質: 0克,Salt%20water%20taffy
??lb?r,260.82 gramm,卡路里: 364,碳水化合: 14克,脂肪: 27.1克,蛋白質: 16.7克,??lb?r
Murtabak,"Murtabak, 174 g",卡路里: 674,碳水化合: 32克,脂肪: 56.1克,蛋白質: 12.6克,Murtabak
Tahu goreng,"Rumahan, 110 gram (potongan besar)",卡路里: 75,碳水化合: 7克,脂肪: 3克,蛋白質: 5克,Tahu%20goreng
Soto ayam,"Singapore, 1 bowl",卡路里: 219,碳水化合: 26克,脂肪: 8克,蛋白質: 19克,Soto%20ayam
Mee siam,"Mee Siam, 490 grams",卡路里: 520,碳水化合: 92.1克,脂肪: 14.7克,蛋白質: 14.7克,Mee%20siam
Submarine sandwich,"Generic, 1 sandwich",卡路里: 678,碳水化合: 46克,脂肪: 12克,蛋白質: 34克,Submarine%20sandwich
Halu?ky,"Halu?ky, 100 g",卡路里: 179,碳水化合: 38.9克,脂肪: 0.7克,蛋白質: 5.3克,Halu?ky
Kimchi-jjigae,"Kimchi Jjigae, 1 Cup",卡路里: 186,碳水化合: 10克,脂肪: 9.5克,蛋白質: 16.6克,Kimchi-jjigae
Fish ball,"Bobo, 100 g (about 5.5 balls)",卡路里: 50,碳水化合: 5克,脂肪: 1克,蛋白質: 8克,Fish%20ball
Blodpalt,"Blodpalt, 1 pcs",卡路里: 255,碳水化合: 0克,脂肪: 0克,蛋白質: 0克,Blodpalt
Lebanon bologna,"Lebanon Bologna, 2 oz",卡路里: 120,碳水化合: 2克,脂肪: 7克,蛋白質: 10克,Lebanon%20bologna
Okroshka,1 bowl (2 cups),卡路里: 379,碳水化合: 28.7克,脂肪: 23.7克,蛋白質: 18.1克,Okroshka
Linzer torte,"Swiss Linzer Torte, 58.75 gram",卡路里: 238,碳水化合: 34.7克,脂肪: 9.4克,蛋白質: 2.9克,Linzer%20torte
Shrikhand,"chitale shrikhand, 100 gram",卡路里: 298,碳水化合: 50.6克,脂肪: 8.6克,蛋白質: 5.2克,Shrikhand
Yakiniku,"Yakiniku, 100 g",卡路里: 231,碳水化合: 10.2克,脂肪: 13.1克,蛋白質: 18克,Yakiniku
Huevos divorciados,"Sanborns, 2 eggs",卡路里: 500,碳水化合: 33.4克,脂肪: 30克,蛋白質: 20克,Huevos%20divorciados
Nihari,"Nihari, 378.6 Gram",卡路里: 752,碳水化合: 20.1克,脂肪: 42.5克,蛋白質: 72.4克,Nihari
Saut?ed reindeer,"Malteser, 29 g",卡路里: 164,碳水化合: 17.9克,脂肪: 9.3克,蛋白質: 2.1克,Saut?ed%20reindeer
Hasty pudding,"Allrecipes.com, 1 cup cooked",卡路里: 203,碳水化合: 40.3克,脂肪: 3.4克,蛋白質: 5.4克,Hasty%20pudding
Mission burrito,"Mission, 1 tortilla",卡路里: 143,碳水化合: 22.4克,脂肪: 3.9克,蛋白質: 3.5克,Mission%20burrito
Sweet and sour pork,"Pork, 295 grams",卡路里: 587,碳水化合: 40克,脂肪: 34克,蛋白質: 32.7克,Sweet%20and%20sour%20pork
R?dgr?d,"Sk?lsk?r, 100 gram",卡路里: 98,碳水化合: 23克,脂肪: 0.3克,蛋白質: 0.4克,R?dgr?d
Booyah,"Homemade, 1 bowl",卡路里: 424,碳水化合: 13克,脂肪: 16.3克,蛋白質: 28.6克,Booyah
Bienenstich,1 st?ck,卡路里: 449,碳水化合: 50.7克,脂肪: 25.2克,蛋白質: 8.3克,Bienenstich
Dressed herring,1 cup,卡路里: 518,碳水化合: 19.5克,脂肪: 44克,蛋白質: 11.2克,Dressed%20herring
New York-style pizza,"Ciros, 0.125 of 12 "" pizza",卡路里: 300,碳水化合: 37克,脂肪: 76克,蛋白質: 14克,New%20York-style%20pizza
Bistek,"Milanesa, 112 g",卡路里: 130,碳水化合: 0克,脂肪: 3克,蛋白質: 26克,Bistek
Sinigang,"Pork sinigang, 1 bowl",卡路里: 290,碳水化合: 11克,脂肪: 10克,蛋白質: 34克,Sinigang
Fios de ovos,"Fios de ovos, 10 grama",卡路里: 29,碳水化合: 4克,脂肪: 1.5克,蛋白質: 0.5克,Fios%20de%20ovos
Vitello tonnato,"Migros-Vitello Tonnato, 1 Box",卡路里: 331,碳水化合: 1克,脂肪: 31克,蛋白質: 13克,Vitello%20tonnato
Bisque,"Bisque, 1 cup",卡路里: 90,碳水化合: 12克,脂肪: 3.5克,蛋白質: 2克,Bisque
06w9wv4,"M&M, 1 pack",卡路里: 250,碳水化合: 29克,脂肪: 13克,蛋白質: 5克,06w9wv4
Modak,"Homemade, 1 modak",卡路里: 187,碳水化合: 32.2克,脂肪: 5.9克,蛋白質: 2克,Modak
New Haven-style pizza,1 part,卡路里: 230,碳水化合: 25.6克,脂肪: 10.6克,蛋白質: 9.8克,New%20Haven-style%20pizza
California-style pizza,"California Pizza Kitchen, 0.33 pizza",卡路里: 310,碳水化合: 50克,脂肪: 7克,蛋白質: 13克,California-style%20pizza
Wrap,"Wrap, 1 wrap",卡路里: 300,碳水化合: 49克,脂肪: 8克,蛋白質: 8克,Wrap
Puri,"puri, 1 piece",卡路里: 107,碳水化合: 18.5克,脂肪: 3.4克,蛋白質: 2.7克,Puri
Jam?n,"Jam?n praga ahumado, 1 unidad",卡路里: 24,碳水化合: 0.9克,脂肪: 0.9克,蛋白質: 3克,Jam?n
Khash,"Generic Khash, 1 cup",卡路里: 100,碳水化合: 1克,脂肪: 1克,蛋白質: 50克,Khash
Beef bourguignon,"Bistro Md Beef Bourguignon, 1 package",卡路里: 310,碳水化合: 19克,脂肪: 11克,蛋白質: 33克,Beef%20bourguignon
Truffade,"Truffade, 100 gr",卡路里: 227,碳水化合: 0克,脂肪: 0克,蛋白質: 0克,Truffade
B? n??ng l? l?t,"Vissan, 100 gram",卡路里: 293,碳水化合: 3.2克,脂肪: 25.1克,蛋白質: 13.6克,B?%20n??ng%20l?%20l?t
Ful medames,"Homemade, 1 cup (264 g)",卡路里: 225,碳水化合: 35克,脂肪: 1克,蛋白質: 9克,Ful%20medames
Aligot,"aligot, 100 g",卡路里: 254,碳水化合: 1.4克,脂肪: 20克,蛋白質: 17克,Aligot
Kolach,"Davis Donut, 1 per serving",卡路里: 110,碳水化合: 9克,脂肪: 6克,蛋白質: 5克,Kolach
Kesme,"Generic, 200 gr.",卡路里: 215,碳水化合: 44.1克,脂肪: 3.4克,蛋白質: 5.4克,Kesme
Funeral potatoes,"Polly's Funeral Potatoes, 1 cup",卡路里: 400,碳水化合: 14克,脂肪: 35克,蛋白質: 10克,Funeral%20potatoes
Sushi,"Sushi Hannafords, 140 g (10 pc)",卡路里: 170,碳水化合: 27克,脂肪: 1.5克,蛋白質: 12克,Sushi
Arancini,"Carraba's, 1 ball",卡路里: 72,碳水化合: 8克,脂肪: 4克,蛋白質: 2克,Arancini
Creamed corn,"Homemade, 0.5 cup",卡路里: 107,碳水化合: 18克,脂肪: 3.4克,蛋白質: 4克,Creamed%20corn
Mozzarella sticks,"Food Lion Mozzarella Sticks, 4 piece",卡路里: 300,碳水化合: 8克,脂肪: 2.5克,蛋白質: 3克,Mozzarella%20sticks
American goulash,"A'viands, 1.5 cup",卡路里: 510,碳水化合: 48.9克,脂肪: 18克,蛋白質: 37.7克,American%20goulash
Gofio,"gofio, 1 taza",卡路里: 367,碳水化合: 76克,脂肪: 2.3克,蛋白質: 10.5克,Gofio
Soup alla Canavese,"Generic Soup Alla Canavese, 1 cup",卡路里: 100,碳水化合: 1克,脂肪: 1克,蛋白質: 50克,Soup%20alla%20Canavese
Red beans and rice,"Red Beans & Rice, 1 cup",卡路里: 190,碳水化合: 40克,脂肪: 0.5克,蛋白質: 7克,Red%20beans%20and%20rice
Fl?skpannkaka,"Hemlagad, 100 gram",卡路里: 223,碳水化合: 17.9克,脂肪: 12.5克,蛋白質: 9.6克,Fl?skpannkaka
Hyderabadi biryani,"Biryani - Andhra Style, 500 g",卡路里: 726,碳水化合: 65.9克,脂肪: 22.5克,蛋白質: 61克,Hyderabadi%20biryani
Baeckeoffe,172.91 gramm,卡路里: 223,碳水化合: 19.3克,脂肪: 7.2克,蛋白質: 16.6克,Baeckeoffe
Eton mess,185.09 gramm,卡路里: 315,碳水化合: 55.9克,脂肪: 9.8克,蛋白質: 4.5克,Eton%20mess
Khachapuri,180.4 gramm,卡路里: 556,碳水化合: 38.5克,脂肪: 32.6克,蛋白質: 28克,Khachapuri
Banoffee pie,"Morrisons Banoffee Pie, 84 g",卡路里: 317,碳水化合: 30.7克,脂肪: 20.2克,蛋白質: 0克,Banoffee%20pie
Ants climbing a tree,1 cup,卡路里: 262,碳水化合: 30.4克,脂肪: 9.6克,蛋白質: 12.6克,Ants%20climbing%20a%20tree
Dandan noodles,"Topvalu, 1 pack",卡路里: 456,碳水化合: 57.9克,脂肪: 15.8克,蛋白質: 22.4克,Dandan%20noodles
Suanla chaoshou,"Generic Suanla Chaoshou, 1 cup",卡路里: 100,碳水化合: 1克,脂肪: 1克,蛋白質: 50克,Suanla%20chaoshou
Samgye-tang,"Eurest, 16 ounce",卡路里: 331,碳水化合: 19.9克,脂肪: 26.3克,蛋白質: 9.5克,Samgye-tang
Spam musubi,1 piece,卡路里: 103,碳水化合: 15.5克,脂肪: 2.9克,蛋白質: 2.8克,Spam%20musubi
Bridie,"Frasers, 1 Per Bridie",卡路里: 330,碳水化合: 28克,脂肪: 20克,蛋白質: 8.4克,Bridie
Kaju katli,19 gramme,卡路里: 92,碳水化合: 12.7克,脂肪: 4.5克,蛋白質: 1.5克,Kaju%20katli
Chocolate-covered potato chips,"Pop Chips, 5 chips",卡路里: 220,碳水化合: 24克,脂肪: 13克,蛋白質: 3克,Chocolate-covered%20potato%20chips
Enne gai,"Generic Enne Gai, 1 cup",卡路里: 100,碳水化合: 1克,脂肪: 1克,蛋白質: 50克,Enne%20gai
Ruske kape,"Generic, 100 gram",卡路里: 343,碳水化合: 50克,脂肪: 14克,蛋白質: 5.1克,Ruske%20kape
Spaghetti,"Spaghetti, 1 cups",卡路里: 210,碳水化合: 43克,脂肪: 1克,蛋白質: 0克,Spaghetti
Grass jelly,"Grass jelly, 1 bowl",卡路里: 114,碳水化合: 28克,脂肪: 0克,蛋白質: 0克,Grass%20jelly
Salt potatoes,1 potato,卡路里: 59,碳水化合: 9.1克,脂肪: 2.2克,蛋白質: 1.1克,Salt%20potatoes
Katsudon,"Katsudon, 1 stick",卡路里: 224,碳水化合: 0克,脂肪: 14克,蛋白質: 23克,Katsudon
Pasanda,"Waitrose, 0.5 Jar",卡路里: 425,碳水化合: 24.9克,脂肪: 31.9克,蛋白質: 3.9克,Pasanda
Banitsa,1 cup,卡路里: 478,碳水化合: 28克,脂肪: 35.9克,蛋白質: 11.1克,Banitsa
Flammekueche,"Flammekueche, 180 gr",卡路里: 434,碳水化合: 52.7克,脂肪: 18.9克,蛋白質: 14.4克,Flammekueche
Twice-cooked pork,"Twice-cooked Pork, 4 oz",卡路里: 318,碳水化合: 8.7克,脂肪: 16克,蛋白質: 33克,Twice-cooked%20pork
Kare-kare,"kare, 101 g",卡路里: 103,碳水化合: 1.3克,脂肪: 3.9克,蛋白質: 16克,Kare-kare
Laobing,"Generic Laobing, 1 cup",卡路里: 100,碳水化合: 1克,脂肪: 1克,蛋白質: 50克,Laobing
Banmian,"banmian, 100 g",卡路里: 447,碳水化合: 12.7克,脂肪: 41.7克,蛋白質: 5.2克,Banmian
Honey cake,"Honey Cake, 1 piece",卡路里: 110,碳水化合: 25克,脂肪: 0.5克,蛋白質: 2克,Honey%20cake
Swiss wing,"Swiss Chalet, 1 Serving",卡路里: 100,碳水化合: 16克,脂肪: 4克,蛋白質: 0克,Swiss%20wing
Michigan hot dog,"Valentine, 1 hot dog",卡路里: 230,碳水化合: 22克,脂肪: 12克,蛋白質: 9克,Michigan%20hot%20dog
Tong sui,"Daniel Food Diary, 1 portion",卡路里: 188,碳水化合: 0克,脂肪: 0克,蛋白質: 0克,Tong%20sui
Taco,"taco, 1 shell",卡路里: 200,碳水化合: 15克,脂肪: 10克,蛋白質: 10克,Taco
